,loss,accuracy,recall,precision,f1,val_loss,val_accuracy,val_recall,val_precision,val_f1
0,1.2286,0.5226,0.0459,0.5806,0.08507434956105348,0.8281,0.5442,0.0812,0.9,0.14896045658377494
1,0.7359,0.5902,0.1987,0.9376,0.3279083340667078,0.7095,0.6054,0.2094,0.8348,0.3348153993487838
2,0.636,0.6619,0.3628,0.9057,0.5180732518722901,0.6707,0.6429,0.3521,0.8209,0.49281993179880645
3,0.5913,0.721,0.5005,0.8991,0.6430402257787939,0.6545,0.6616,0.4219,0.8107,0.5549802531234789
4,0.5621,0.7631,0.5932,0.8941,0.7132120217844417,0.6454,0.665,0.4406,0.8193,0.5730352885149615
5,0.542,0.7881,0.6459,0.9048,0.7537374347069066,0.6368,0.6701,0.4625,0.8115,0.5891974097331241
6,0.5253,0.812,0.6943,0.9042,0.7854689521426338,0.6331,0.6735,0.4458,0.8228,0.5782819486047611
7,0.5111,0.8259,0.7105,0.9265,0.8042495418448382,0.6278,0.6837,0.4938,0.8126,0.61430171463564
8,0.4993,0.8421,0.7407,0.93,0.8246256060333993,0.6199,0.6888,0.4771,0.8305,0.6060439736922607
9,0.4883,0.8487,0.7546,0.929,0.8327671655975291,0.6166,0.6973,0.4604,0.8569,0.598977848629773
10,0.4776,0.8586,0.7637,0.9413,0.8432502170087978,0.6078,0.7296,0.5448,0.8003,0.6482840532302431
11,0.4674,0.868,0.7842,0.9425,0.8560937047547345,0.6033,0.7177,0.5458,0.8003,0.6489915162320778
12,0.4592,0.8784,0.7999,0.9484,0.8678432305668364,0.5979,0.716,0.5167,0.796,0.6266370076940658
13,0.4504,0.8837,0.8104,0.9503,0.8747919804623162,0.5928,0.7177,0.5427,0.8065,0.6488104802846131
14,0.4432,0.892,0.8275,0.95,0.8845288326300985,0.5899,0.7279,0.5302,0.8421,0.6507052685272898
15,0.4359,0.904,0.8475,0.9561,0.8985304391217565,0.5849,0.7143,0.524,0.8157,0.6380933044711502
16,0.4289,0.9034,0.8467,0.9553,0.8977275360710322,0.5772,0.7347,0.5833,0.8038,0.6760241366880542
17,0.4232,0.9037,0.8501,0.9531,0.89865828527063,0.5767,0.7381,0.5552,0.84,0.6685321100917432
18,0.4183,0.9103,0.8572,0.958,0.9048012340237991,0.5733,0.733,0.5688,0.833,0.6760028534741047
19,0.4135,0.9113,0.8612,0.9568,0.9064864246424642,0.5667,0.7483,0.6375,0.8029,0.7107036239933352
20,0.4087,0.9159,0.8734,0.9554,0.9125616360454942,0.57,0.7262,0.5719,0.8177,0.6730607800805987
21,0.4039,0.9209,0.876,0.9615,0.9167608163265306,0.5673,0.75,0.6219,0.8199,0.7073044943820224
22,0.3994,0.9227,0.8819,0.9607,0.9196150331053946,0.5677,0.7262,0.5458,0.8204,0.6555033230859316
23,0.3967,0.9197,0.8755,0.9599,0.9157594529802767,0.5619,0.7432,0.5833,0.8203,0.6817910943288688
24,0.3926,0.9252,0.8882,0.9605,0.9229362254557257,0.5588,0.7534,0.5906,0.858,0.6996200469418751
