epoch,loss,accuracy,recall,precision,val_loss,val_accuracy,val_recall,val_precision
1,0.1879,0.7299,0.7043,0.7432,0.1652,0.7609,0.741,0.6587
2,0.1634,0.7696,0.7811,0.7639,0.1609,0.768,0.7887,0.6553
3,0.1563,0.782,0.7932,0.7761,0.1542,0.7805,0.7808,0.6765
4,0.152,0.7922,0.8023,0.787,0.1525,0.7883,0.7985,0.7816
5,0.1479,0.7972,0.8069,0.7918,0.1512,0.7913,0.7854,0.7941
6,0.1456,0.8005,0.8102,0.795,0.1488,0.7965,0.8018,0.7925
7,0.1438,0.8037,0.8129,0.7982,0.1476,0.7975,0.8079,0.7904
8,0.1422,0.8064,0.8154,0.8008,0.1467,0.7991,0.794,0.8015
9,0.1408,0.8089,0.8175,0.8041,0.1459,0.8,0.8251,0.7847
10,0.1396,0.8109,0.8195,0.8058,0.1458,0.7994,0.8384,0.777
11,0.1386,0.8121,0.8202,0.8072,0.1446,0.801,0.8251,0.7863
12,0.1376,0.8141,0.8221,0.8091,0.1442,0.8033,0.8074,0.8002
13,0.1368,0.8153,0.8229,0.8109,0.1436,0.8035,0.8251,0.7902
14,0.1361,0.8167,0.8236,0.8125,0.1431,0.8046,0.8093,0.8009
15,0.1354,0.8178,0.8253,0.8132,0.143,0.8028,0.809,0.7984
16,0.1348,0.8186,0.8261,0.8138,0.1426,0.805,0.7974,0.8088
17,0.1342,0.8196,0.8268,0.815,0.1424,0.8045,0.8211,0.7937
18,0.1336,0.8206,0.8277,0.8161,0.1415,0.8055,0.8084,0.8025
19,0.1331,0.8214,0.8286,0.8168,0.1415,0.8055,0.8093,0.8021
20,0.1326,0.8225,0.8296,0.8184,0.1412,0.8056,0.8248,0.793
21,0.1322,0.8231,0.8301,0.8191,0.1413,0.8059,0.806,0.8046
22,0.1317,0.824,0.8312,0.8192,0.1406,0.8073,0.8082,0.8055
23,0.1312,0.8245,0.8315,0.8202,0.1408,0.806,0.8066,0.8043
24,0.1309,0.8248,0.8321,0.8205,0.1402,0.8062,0.8128,0.801
25,0.1305,0.8256,0.8329,0.8214,0.1404,0.8066,0.804,0.8066
