,loss,accuracy,recall,precision,f1,val_loss,val_accuracy,val_recall,val_precision,val_f1
0,0.7522,0.6159,0.5401,0.6574,0.593004993736952,0.6048,0.6934,0.6788,0.7022,0.6903017523533672
1,0.5512,0.7472,0.7055,0.7702,0.7364316595513993,0.5336,0.757,0.6711,0.8132,0.7353480024253857
2,0.5043,0.7856,0.7361,0.8181,0.7749368292369064,0.5115,0.7769,0.7172,0.8162,0.7635041606886657
3,0.485,0.8003,0.752,0.8329,0.7903852608997414,0.502,0.789,0.7345,0.8263,0.7777003459764223
4,0.4726,0.8085,0.7597,0.8427,0.7990504118821767,0.4961,0.7884,0.7496,0.8155,0.7811626094179285
5,0.4626,0.8147,0.7676,0.8483,0.8059348722074386,0.4932,0.7906,0.7086,0.8499,0.7728445813282002
6,0.4549,0.8178,0.7719,0.8509,0.8094770889820064,0.4883,0.7953,0.7542,0.8237,0.7874194055390075
7,0.4481,0.8231,0.7798,0.8545,0.8154428195557731,0.4852,0.7971,0.7424,0.836,0.7864247339077547
8,0.442,0.8286,0.7867,0.8588,0.8211704162868428,0.4809,0.8003,0.746,0.8398,0.7901258670702486
9,0.4361,0.8309,0.7893,0.8599,0.8230888552025224,0.4796,0.7992,0.7571,0.8297,0.7917391857827074
10,0.431,0.8326,0.7918,0.8623,0.8255475968804787,0.4828,0.7974,0.7356,0.8418,0.785124990490681
11,0.4266,0.8356,0.7964,0.8645,0.829053886447107,0.4789,0.8014,0.7492,0.8389,0.7915167558717966
12,0.4224,0.8378,0.7985,0.8666,0.8311574079634857,0.4791,0.7991,0.7517,0.8322,0.7899043373950376
13,0.4185,0.8401,0.8033,0.8675,0.8341665669140532,0.4786,0.8014,0.7668,0.8259,0.7952534940666792
14,0.4151,0.8403,0.8054,0.8666,0.83487995215311,0.4761,0.7994,0.7652,0.8232,0.7931410727776379
15,0.4122,0.843,0.8106,0.8672,0.8379453093336512,0.4807,0.8003,0.7461,0.8383,0.789517331481949
16,0.4091,0.8436,0.8097,0.8696,0.8385816947537664,0.4756,0.8005,0.7458,0.8384,0.7893936624163617
17,0.4065,0.8452,0.8126,0.8695,0.8400876285595386,0.4786,0.7996,0.7576,0.8291,0.7917390306926325
18,0.4039,0.846,0.8139,0.8697,0.8408753029223093,0.4769,0.8,0.7643,0.8246,0.7933057838756372
19,0.4015,0.8469,0.8162,0.8696,0.842054241309764,0.4799,0.8027,0.7576,0.8341,0.7940116353584219
20,0.3992,0.8484,0.8191,0.87,0.8437830797466107,0.4786,0.801,0.7389,0.8452,0.7884834038255161
21,0.3971,0.849,0.8186,0.8711,0.8440343966384565,0.4769,0.8023,0.7533,0.8371,0.7929922409456741
22,0.395,0.8492,0.8191,0.8725,0.8449571411681248,0.4801,0.8016,0.7733,0.8213,0.796577561770977
23,0.3934,0.8516,0.8233,0.8729,0.8473748024997051,0.4758,0.8063,0.7558,0.8426,0.7968431931931932
24,0.3918,0.8508,0.8228,0.8723,0.8468272550292016,0.4777,0.8048,0.7717,0.8293,0.7994638475952531
